Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,33.5,-33.0,-90.0,top
C2,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,63.0,-33.0,-90.0,top
C3,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,77.0,-33.0,-90.0,top
C4,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,91.5,-33.0,-90.0,top
C5,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,105.5,-33.0,-90.0,top
C6,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,119.5,-33.0,-90.0,top
C7,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,134.0,-33.0,-90.0,top
C8,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,148.0,-33.0,-90.0,top
C9,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,162.25,-33.0,-90.0,top
C10,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,176.2,-33.0,-90.0,top
C11,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,190.5,-33.0,-90.0,top
C12,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,204.5,-33.0,-90.0,top
C13,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,218.5,-33.0,-90.0,top
C14,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,233.0,-33.0,-90.0,top
C15,100nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,261.0,-33.0,-90.0,top
D1,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,28.0,-33.0,180.0,top
D2,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,42.117647,-33.0,180.0,top
D3,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,56.235294,-33.0,180.0,top
D4,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,70.352941,-33.0,180.0,top
D5,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,84.470588,-33.0,180.0,top
D6,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,98.588235,-33.0,180.0,top
D7,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,112.705882,-33.0,180.0,top
D8,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,126.823529,-33.0,180.0,top
D9,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,140.941176,-33.0,180.0,top
D10,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,155.058823,-33.0,180.0,top
D11,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,169.17647,-33.0,180.0,top
D12,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,183.294117,-33.0,180.0,top
D13,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,197.411764,-33.0,180.0,top
D14,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,211.529411,-33.0,180.0,top
D15,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,225.647058,-33.0,180.0,top
D16,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,239.764705,-33.0,180.0,top
D17,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,253.882352,-33.0,180.0,top
D18,WS2812B,LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm,268.0,-33.0,180.0,top
