"Designator","Val","Package","Mid X","Mid Y","Rotation","layer"
"C1","0.1uF","C_0805_2012Metric",148.797,-107.311,270,"top"
"C2","0.1uF","C_0805_2012Metric",148.797,-99.183,270,"top"
"C3","1uF","C_0805_2012Metric",135.18,-106.6864,0,"top"
"C4","1uF","C_0805_2012Metric",135.208,-97.786,180,"top"
"C5","1uF","C_0805_2012Metric",130.9385,-105.815,0,"top"
"C6","1uF","C_0805_2012Metric",175.5305,-99.499,270,"top"
"C7","1uF","C_0805_2012Metric",139.1,-98.66,270,"top"
"C8","10uF","C_0805_2012Metric",135.18,-104.248,0,"top"
"D1","LED_0805","LED_0805_2012Metric",127.6365,-107.085,90,"top"
"D2","LED_0805","LED_0805_2012Metric",174.578,-96.578,0,"top"
"R1","1.00K","R_0805_2012Metric",150.194,-104.009,0,"top"
"R2","10.0k","R_0805_2012Metric",150.956,-107.311,270,"top"
"R3","1.00K","R_0805_2012Metric",150.194,-95.881,0,"top"
"R4","10.0k","R_0805_2012Metric",150.956,-99.183,270,"top"
"R9","1.00K","R_0805_2012Metric",130.9385,-108.355,0,"top"
"R10","1.00K","R_0805_2012Metric",173.3715,-99.499,270,"top"
"U1","SS49E","SOT-23",124.5885,-106.831,0,"top"
"U2","SS49E","SOT-23",174.55,-93.612,270,"top"
"U3","LM393","SOIC-8_3.9x4.9mm_P1.27mm",142.8,-101.2,0,"top"
"U4","AP2127K-3.3","SOT-23-5",135.208,-101.088,180,"top"
