Comment,Qty,5 boards,Designator,MPN,Digikey PN,Footprint,LCSC
0.1uF,2,10,"C1,C3",CC0805KRX7R9BB104,311-1140-1-ND,0805,C49678
4.7uF,2,10,"C4,C2",CC0805KKX5R8BB475,311-1871-1-ND,0805,C1779
10uF,2,10,"C5,C6",CC0805ZKY5V6BB106 ,311-1355-1-ND,0805,C15850
LED,1,5,D1,17-215SURC/S530-A2/TR8 ,732-4984-1-ND,0805,C84256
Fuse,1,5,F1,?3544-2?,36-3544-2-ND,TRA_KiCad_Footprints:3544-2_FuseHolder,
MountingHole,2,10,"H1,H2",,,MountingHole:MountingHole_3.2mm_M3,
USB_B_Micro,1,5,J1,1050170001?,WM1399CT-ND,TRA_KiCad_Footprints:Molex-105017-0001-USBMicroB,
Conn_01x01,1,5,J10,PH1-01-UA,2057-PH1-01-UA-ND,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,
Conn_01x04,1,5,J2,61300411121,732-5317-ND,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,
Conn_01x03,2,10,"J4,J11",61300311121,732-5316-ND,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,
Vin,1,5,J5,1715721,277-1263-ND,TRA_KiCad_Footprints:1x02_ScrewTerminal_Phoenix,
Screw_Terminal_01x08,1,5,J6,1715789,277-1266-ND,"TRA_KiCad_Footprints:TerminalBlock_Phoenix_MKDS-1,5-8-5.08_1x08_P5.08mm_Horizontal",
Conn_01x02,2,10,"J7,J12",61300211121,732-5315-ND,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
Conn_01x02,2,10,"J8,J9",B2B-XH-A(LF)(SN),455-2247-ND,Connector_JST:JST_XH_B02B-XH-A_1x02_P2.50mm_Vertical,
IRLML6344TRPBF,4,20,"Q1,Q4,Q3,Q2",IRLML6344TRPBF,IRLML6344TRPBFCT-ND,Package_TO_SOT_SMD:SOT-23,C20917
10K,9,45,"R2,R1,R16,R17,R14,R13,R12,R11,R6",RC0805JR-0710KL,311-10KARCT-ND,0805,C17414
1K,1,5,R3,RC0805JR-071KL,311-1.0KARCT-ND,0805,C17513
4.7K,2,10,"R5,R4",RC0805JR-074K7L,311-4.7KARCT-ND,0805,C17673
100,4,20,"R7,R8,R10,R9",RC0805JR-07100RL,311-100ARCT-ND,0805,C17408
SW_SPST,1,5,SW2,1825966-1,450-1665-ND,TRA_KiCad_Footprints:2PinTactileButton,
STM32F042F6Px,1,5,U1,STM32F042F6P6,497-17344-ND,TSSOP-20,C81000
AP2127K-3.3,1,5,U2,AP2127K-3.3TRG1,AP2127K-3.3TRG1DICT-ND,SOT-23-5,C156285
74LVC1G17,1,5,U3,74LVC1G17SE-7,74LVC1G17SE-7CT-ND,SOT-353,C124293
