"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","0.1uF","C_0805_2012Metric",179.5,-85,180,"top"
"C2","4.7uF","C_0805_2012Metric",189.501,-77.24,180,"top"
"C3","0.1uF","C_0805_2012Metric",170,-89.75,0,"top"
"C4","4.7uF","C_0805_2012Metric",189.509,-83.414,0,"top"
"C5","4.7uF","C_0805_2012Metric",192.5,-90.5,180,"top"
"C6","4.7uF","C_0805_2012Metric",183.75,-90.5,180,"top"
"D1","LED","LED_0805_2012Metric",161.25,-90.5,180,"top"
"D2","LED","LED_0805_2012Metric",139.257,-89.993,270,"top"
"D3","LED","LED_0805_2012Metric",129.097,-89.993,270,"top"
"D4","LED","LED_0805_2012Metric",118.937,-89.993,270,"top"
"D5","LED","LED_0805_2012Metric",108.777,-89.993,270,"top"
"D6","LED","LED_0805_2012Metric",185.866,-84.659,0,"top"
"D7","LED","LED_0805_2012Metric",104.205,-86.437,180,"top"
"J1","USB_B_Micro","Molex-105017-0001-USBMicroB",181.742,-78.659,180,"top"
"Q1","IRLML6344TRPBF","SOT-23",142.676,-91.25,0,"top"
"Q2","IRLML6344TRPBF","SOT-23",132.516,-91.25,0,"top"
"Q3","IRLML6344TRPBF","SOT-23",122.356,-91.25,0,"top"
"Q4","IRLML6344TRPBF","SOT-23",112.196,-91.25,0,"top"
"R1","10K","R_0805_2012Metric",175.75,-79.5,270,"top"
"R2","10K","R_0805_2012Metric",148.528,-96.724,90,"top"
"R3","1K","R_0805_2012Metric",158.5,-92.25,270,"top"
"R4","4.7K","R_0805_2012Metric",165.66,-93.576,180,"top"
"R5","4.7K","R_0805_2012Metric",169.724,-93.576,0,"top"
"R6","10K","R_0805_2012Metric",160.25,-96.75,270,"top"
"R7","100","R_0805_2012Metric",146.226,-92.5,180,"top"
"R8","100","R_0805_2012Metric",136.066,-92.5,180,"top"
"R9","100","R_0805_2012Metric",125.906,-92.5,180,"top"
"R10","100","R_0805_2012Metric",115.746,-92.5,180,"top"
"R11","10K","R_0805_2012Metric",146.226,-90.5,180,"top"
"R12","10K","R_0805_2012Metric",136.066,-90.5,180,"top"
"R13","10K","R_0805_2012Metric",125.906,-90.5,180,"top"
"R14","10K","R_0805_2012Metric",115.746,-90.5,180,"top"
"R15","4.7K","R_0805_2012Metric",139.257,-93.549,90,"top"
"R16","4.7K","R_0805_2012Metric",188.5,-90.5,180,"top"
"R17","4.7K","R_0805_2012Metric",179.75,-90.5,180,"top"
"R18","4.7K","R_0805_2012Metric",129.097,-93.549,90,"top"
"R19","4.7K","R_0805_2012Metric",118.937,-93.549,90,"top"
"R20","4.7K","R_0805_2012Metric",108.777,-93.549,90,"top"
"R21","1K","R_0805_2012Metric",185.866,-82.5,180,"top"
"R22","4.7K","R_0805_2012Metric",104.205,-84.405,0,"top"
"U1","STM32F042F6Px","TSSOP-20_4.4x6.5mm_P0.65mm",171.75,-85,270,"top"
"U2","AP2127K-3.3","SOT-23-5",189.509,-80.239,90,"top"
"U3","74LVC1G17","SOT-753",192.978,-86.564,180,"top"
