Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0805_2012Metric,179.5,-85,180,top
C2,4.7uF,C_0805_2012Metric,189.501,-77.24,180,top
C3,0.1uF,C_0805_2012Metric,170,-89.75,0,top
C4,4.7uF,C_0805_2012Metric,189.509,-83.414,0,top
C5,10uF,C_0805_2012Metric,192.5,-90.5,180,top
C6,10uF,C_0805_2012Metric,183.75,-90.5,180,top
D1,LED,LED_0805_2012Metric,161.25,-90.5,180,top
J1,USB_B_Micro,Molex-105017-0001-USBMicroB,181.742,-78.659,180,top
Q1,IRLML6344TRPBF,SOT-23,142.93,-91.25,0,top
Q2,IRLML6344TRPBF,SOT-23,132.77,-91.25,0,top
Q3,IRLML6344TRPBF,SOT-23,122.61,-91.25,0,top
Q4,IRLML6344TRPBF,SOT-23,112.45,-91.25,0,top
R1,10K,R_0805_2012Metric,175.75,-79.5,270,top
R2,10K,R_0805_2012Metric,147,-96.75,90,top
R3,1K,R_0805_2012Metric,158.5,-92.25,270,top
R4,4.7K,R_0805_2012Metric,165.66,-93.576,180,top
R5,4.7K,R_0805_2012Metric,169.724,-93.576,0,top
R6,10K,R_0805_2012Metric,160.25,-96.75,270,top
R7,100,R_0805_2012Metric,146.48,-92.5,180,top
R8,100,R_0805_2012Metric,136.32,-92.5,180,top
R9,100,R_0805_2012Metric,126.16,-92.5,180,top
R10,100,R_0805_2012Metric,116,-92.5,180,top
R11,10K,R_0805_2012Metric,146.48,-90.5,0,top
R12,10K,R_0805_2012Metric,136.32,-90.5,0,top
R13,10K,R_0805_2012Metric,126.16,-90.5,0,top
R14,10K,R_0805_2012Metric,116,-90.5,0,top
R16,10K,R_0805_2012Metric,188.5,-90.5,0,top
R17,10K,R_0805_2012Metric,179.75,-90.5,0,top
U1,STM32F042F6Px,TSSOP-20_4.4x6.5mm_P0.65mm,171.75,-85,270,top
U2,AP2127K-3.3,SOT-23-5,189.509,-80.239,90,top
U3,74LVC1G17,SOT-353_SC-70-5,193.75,-86.5,180,top
