Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric",179.500000,-85.000000,180.000000,top
"C2","4.7uF","C_0805_2012Metric",189.501000,-77.240000,180.000000,top
"C3","0.1uF","C_0805_2012Metric",170.000000,-89.750000,0.000000,top
"C4","4.7uF","C_0805_2012Metric",189.509000,-83.414000,0.000000,top
"C5","10uF","C_0805_2012Metric",192.500000,-90.500000,180.000000,top
"C6","10uF","C_0805_2012Metric",183.750000,-90.500000,180.000000,top
"D1","LED","LED_0805_2012Metric",161.250000,-90.500000,180.000000,top
"J1","USB_B_Micro","Molex-105017-0001-USBMicroB",181.742000,-78.659000,180.000000,top
"Q1","IRLML6344TRPBF","SOT-23",142.930000,-91.250000,180.000000,top
"Q2","IRLML6344TRPBF","SOT-23",132.770000,-91.250000,180.000000,top
"Q3","IRLML6344TRPBF","SOT-23",122.610000,-91.250000,180.000000,top
"Q4","IRLML6344TRPBF","SOT-23",112.450000,-91.250000,180.000000,top
"R1","10K","R_0805_2012Metric",175.750000,-79.500000,270.000000,top
"R2","10K","R_0805_2012Metric",147.000000,-96.750000,90.000000,top
"R3","1K","R_0805_2012Metric",158.500000,-92.250000,270.000000,top
"R4","4.7K","R_0805_2012Metric",165.660000,-93.576000,180.000000,top
"R5","4.7K","R_0805_2012Metric",169.724000,-93.576000,0.000000,top
"R6","10K","R_0805_2012Metric",160.250000,-96.750000,270.000000,top
"R7","100","R_0805_2012Metric",146.480000,-92.500000,180.000000,top
"R8","100","R_0805_2012Metric",136.320000,-92.500000,180.000000,top
"R9","100","R_0805_2012Metric",126.160000,-92.500000,180.000000,top
"R10","100","R_0805_2012Metric",116.000000,-92.500000,180.000000,top
"R11","10K","R_0805_2012Metric",146.480000,-90.500000,0.000000,top
"R12","10K","R_0805_2012Metric",136.320000,-90.500000,0.000000,top
"R13","10K","R_0805_2012Metric",126.160000,-90.500000,0.000000,top
"R14","10K","R_0805_2012Metric",116.000000,-90.500000,0.000000,top
"R16","10K","R_0805_2012Metric",188.500000,-90.500000,0.000000,top
"R17","10K","R_0805_2012Metric",179.750000,-90.500000,0.000000,top
"U1","STM32F042F6Px","TSSOP-20_4.4x6.5mm_P0.65mm",171.750000,-85.000000,0.000000,top
"U2","AP2127K-3.3","SOT-23-5",189.509000,-80.239000,270.000000,top
"U3","74LVC1G17","SOT-353_SC-70-5",193.750000,-86.500000,0.000000,top
