Designator,Val,Package,MidX,MidY,Rotation,Layer
"C1","4.7uF","C_0603_1608Metric",115.900000,-80.430000,90.000000,bottom
"C2","4.7uF","C_0603_1608Metric",111.760000,-69.075000,-90.000000,bottom
"C3","30pf","C_0402_1005Metric",121.640000,-60.020000,90.000000,bottom
"C4","30pf","C_0402_1005Metric",127.140000,-60.370000,90.000000,bottom
"C5","0.1uf","C_0402_1005Metric",117.320000,-77.550000,-90.000000,bottom
"C6","0.1uf","C_0402_1005Metric",119.770000,-64.800000,0.000000,bottom
"C7","0.1uf","C_0402_1005Metric",105.940000,-61.520000,180.000000,bottom
"C8","0.1uf","C_0402_1005Metric",107.080000,-77.990000,90.000000,bottom
"C9","1uf","C_0402_1005Metric",107.270000,-64.950000,180.000000,bottom
"C10","1uf","C_0402_1005Metric",107.270000,-67.000000,180.000000,bottom
"C11","0.1uf","C_0402_1005Metric",119.770000,-63.800000,0.000000,bottom
"C12","0.1uf","C_0402_1005Metric",102.080000,-58.840000,90.000000,bottom
"C13","0.1uf","C_0402_1005Metric",115.620000,-57.950000,0.000000,bottom
"C14","0.1uf","C_0402_1005Metric",109.460000,-68.500000,-90.000000,bottom
"C15","0.1uf","C_0402_1005Metric",110.510000,-68.490000,-90.000000,bottom
"C16","0.1uf","C_0402_1005Metric",107.270000,-66.000000,180.000000,bottom
"C17","0.1uf","C_0402_1005Metric",106.620000,-63.250000,180.000000,bottom
"J4","USB_B_Micro","MolexVertical&Horizontal_MicroB",87.877500,-67.150000,90.000000,bottom
"L1","120R 100MHZ","L_0402_1005Metric",107.770000,-68.050000,0.000000,bottom
"R1","1K","R_0603_1608Metric",106.035000,-53.770000,180.000000,bottom
"R2","1k","R_0603_1608Metric",120.750000,-61.800000,0.000000,bottom
"R3","10k","R_0603_1608Metric",115.150000,-69.750000,-90.000000,bottom
"R4","10k","R_0603_1608Metric",113.690000,-69.750000,-90.000000,bottom
"R7","27R","R_0402_1005Metric",104.050000,-63.190000,180.000000,bottom
"R8","27R","R_0402_1005Metric",104.030000,-64.190000,0.000000,bottom
"R9","10k","R_0603_1608Metric",106.035000,-52.240000,180.000000,bottom
"SW1","RESET","SW_Push_1P1T_NO_4.5x4.5mm",101.400000,-75.500000,180.000000,bottom
"SW5","BOOTSEL","SW_Push_1P1T_NO_4.5x4.5mm",125.700000,-75.500000,180.000000,bottom
"U1","AP2127K-3.3","SOT-23-5",112.780000,-78.030000,270.000000,bottom
"U2","USBLC6-2P6","SOT-666",100.940000,-63.682500,-90.000000,bottom
"U3","74LVC1G17","SOT-753",124.810000,-66.900000,0.000000,bottom
"U4","W25Q16JVUXIQ_TR","IC_W25Q16JVUXIQ_TR",104.130000,-58.377500,180.000000,bottom
"U5","RP2040","RP2040-QFN-56",113.000000,-63.000000,-90.000000,bottom
"Y1","12Mhz","Crystal_SMD_3225-4Pin_3.2x2.5mm",124.480000,-60.790000,0.000000,bottom
"D1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",159.920000,-62.150000,0.000000,top
"SW6","Killswitch","SW_Push_1P1T_NO_4.5x4.5mm",159.920000,-72.160000,0.000000,top
