"Comment","Designator","Footprint","LCSC"
"4.7uF","C1,C2","V0-Micro-Display:C_0805_2012Metric","C1779"
"0.1uF","C3,C4","V0-Micro-Display:C_0805_2012Metric","C49678"
"WS2812B","D1","V0-Micro-Display:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","C114586"
"I2C Header 1","J2","V0-Micro-Display:0pt96in_OLED","-"
"Conn_01x02","J4","V0-Micro-Display:PinHeader_1x02_P2.54mm_Vertical","C160332"
"USB_Header","J7","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","C144395"
"Pin2","JP1","V0-Micro-Display:SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm","-"
"Pin1","JP2","V0-Micro-Display:SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm","-"
"10K","R2,R1","V0-Micro-Display:R_0805_2012Metric","C17414"
"SW_SPST","SW1","V0-Micro-Display:SW_PUSH_6mm","C620201"
"SW_SPST","SW5","V0-Micro-Display:TS-1187A-B-A-B","C318884"
"AP2127K-3.3","U1","V0-Micro-Display:SOT-23-5","C156285"
"STM32F042F6Px","U2","V0-Micro-Display:TSSOP-20_4.4x6.5mm_P0.65mm","C81000"
"74LVC1G17","U3","V0-Micro-Display:SOT-753","C6076"
"Alps_4-Way_Joystick","U4","V0-Micro-Display:Alps_4-Way_Joystick","C202423"
